localidad,mmi,habitantes,pais,fuente
Puerto Cabello,8.0,209080,VE,El Pais (ShakeMap/MMI) 24J-2026
Catia La Mar,7.9,661897,VE,El Pais (ShakeMap/MMI) 24J-2026
Ocumare de la Costa,7.6,7000,VE,El Pais (ShakeMap/MMI) 24J-2026
Maiquetia,7.1,87909,VE,El Pais (ShakeMap/MMI) 24J-2026
San Felipe,6.8,220786,VE,El Pais (ShakeMap/MMI) 24J-2026
Caracas,6.8,2245744,VE,El Pais (ShakeMap/MMI) 24J-2026
La Guaira,6.6,203520,VE,El Pais (ShakeMap/MMI) 24J-2026
Tucacas,6.6,13901,VE,El Pais (ShakeMap/MMI) 24J-2026
Los Guayos,6.5,130345,VE,El Pais (ShakeMap/MMI) 24J-2026
Caraballeda,6.4,48622,VE,El Pais (ShakeMap/MMI) 24J-2026
La Colonia Tovar,6.4,21000,VE,El Pais (ShakeMap/MMI) 24J-2026
Guacara,6.4,200212,VE,El Pais (ShakeMap/MMI) 24J-2026
Los Teques,6.3,251200,VE,El Pais (ShakeMap/MMI) 24J-2026
Petare,6.3,369000,VE,El Pais (ShakeMap/MMI) 24J-2026
San Diego,6.3,187215,VE,El Pais (ShakeMap/MMI) 24J-2026
Chichiriviche,6.3,18960,VE,El Pais (ShakeMap/MMI) 24J-2026
Valencia,6.2,1484430,VE,El Pais (ShakeMap/MMI) 24J-2026
Cagua,6.2,122571,VE,El Pais (ShakeMap/MMI) 24J-2026
Tocuyito,6.2,197446,VE,El Pais (ShakeMap/MMI) 24J-2026
Palo Negro,6.2,153706,VE,El Pais (ShakeMap/MMI) 24J-2026
Santa Cruz,6.2,29773,VE,El Pais (ShakeMap/MMI) 24J-2026
Baruta,6.1,240755,VE,El Pais (ShakeMap/MMI) 24J-2026
Santa Rita,6.1,169158,VE,El Pais (ShakeMap/MMI) 24J-2026
Maracay,6.0,407109,VE,El Pais (ShakeMap/MMI) 24J-2026
El Limon,6.0,106206,VE,El Pais (ShakeMap/MMI) 24J-2026
Cua,5.9,214823,VE,El Pais (ShakeMap/MMI) 24J-2026
Montalban,5.9,24908,VE,El Pais (ShakeMap/MMI) 24J-2026
Santa Lucia,5.9,112357,VE,El Pais (ShakeMap/MMI) 24J-2026
Turmero,5.9,254880,VE,El Pais (ShakeMap/MMI) 24J-2026
Charallave,5.8,117707,VE,El Pais (ShakeMap/MMI) 24J-2026
Tinaquillo,5.8,110000,VE,El Pais (ShakeMap/MMI) 24J-2026
Guatire,5.7,187262,VE,El Pais (ShakeMap/MMI) 24J-2026
Ocumare del Tuy,5.7,150000,VE,El Pais (ShakeMap/MMI) 24J-2026
